version_id,date,revenue,cogs,operating_expenses,marketing_expenses,depreciation,interest,taxes,employee_count,transactions,new_customers
1,2024-01-31,120000.00,50000.00,20000.00,10000.00,5000.00,2000.00,8000.00,50,1200,300
1,2024-02-29,130000.00,55000.00,21000.00,9500.00,5000.00,2000.00,8500.00,52,1250,320
1,2024-03-31,140000.00,60000.00,22000.00,12000.00,5000.00,2000.00,9000.00,55,1300,340
1,2024-04-30,125000.00,52000.00,21500.00,11000.00,5000.00,2000.00,8200.00,,1280,330
1,2024-05-31,150000.00,62000.00,22500.00,13000.00,5000.00,2000.00,9500.00,60,1350,
1,2024-06-30,160000.00,65000.00,23000.00,13500.00,5000.00,2000.00,10000.00,62,,360
1,2024-07-31,170000.00,70000.00,24000.00,14000.00,5000.00,2000.00,10500.00,64,1400,370
1,2024-08-31,165000.00,68000.00,23500.00,13800.00,5000.00,2000.00,10200.00,65,1380,
1,2024-09-30,175000.00,72000.00,24500.00,14200.00,5000.00,2000.00,10800.00,,1450,390
1,2024-10-31,180000.00,74000.00,25000.00,14500.00,5000.00,2000.00,11000.00,70,1500,400
1,2024-11-30,190000.00,78000.00,26000.00,15000.00,5000.00,2000.00,11500.00,72,,420
1,2024-12-31,200000.00,82000.00,27000.00,16000.00,5000.00,2000.00,12000.00,75,1600,440
